Outputs from gas processing technologies in base year.,,,,,,,,,,,,,,,,
XML file must be read AFTER gas processing input file as it re-sets base year shareweights,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
23,,,,CalDataOutput,,,,,,,,,,,,
,,,,calOutputValue,,subsector sharewt,,tech sharewt,,,,,,,,
region,supplysector,subsector,technology,1990,2005,1990,2005,1990,2005,,,,,,region ID,
USA,gas processing,natural gas,natural gas,18.2531166,21.67477052,1,1,1,1,,,,,,1,1natural gas
USA,gas processing,biomass gasification,biomass gasification,0.03066831,0.15981853,1,1,1,1,,,,,,1,1biomass gasification
USA,gas processing,coal gasification,coal gasification,0.135761177,0.04635625,1,1,1,1,,,,,,1,1coal gasification
Canada,gas processing,natural gas,natural gas,2.288333221,3.168222736,1,1,1,1,,,,,,2,2natural gas
Canada,gas processing,biomass gasification,biomass gasification,0.000276329,0.008034469,1,1,1,1,,,,,,2,2biomass gasification
Canada,gas processing,coal gasification,coal gasification,0.028683767,0.026544312,1,1,1,1,,,,,,2,2coal gasification
Western Europe,gas processing,natural gas,natural gas,9.524115893,17.32435875,1,1,1,1,,,,,,3,3natural gas
Western Europe,gas processing,biomass gasification,biomass gasification,0.029236424,0.1798105,1,1,1,1,,,,,,3,3biomass gasification
Western Europe,gas processing,coal gasification,coal gasification,0.294993554,0.16035444,1,1,1,1,,,,,,3,3coal gasification
Japan,gas processing,natural gas,natural gas,2.00140763,3.06430636,1,1,1,1,,,,,,4,4natural gas
Japan,gas processing,biomass gasification,biomass gasification,0.001750082,0.005949443,1,1,1,1,,,,,,4,4biomass gasification
Japan,gas processing,coal gasification,coal gasification,0.317920471,0.300093077,1,1,1,1,,,,,,4,4coal gasification
Australia_NZ,gas processing,natural gas,natural gas,0.781194078,1.099328076,1,1,1,1,,,,,,5,5natural gas
Australia_NZ,gas processing,biomass gasification,biomass gasification,0.000946217,0.014151384,1,1,1,1,,,,,,5,5biomass gasification
Australia_NZ,gas processing,coal gasification,coal gasification,0.025912105,0.022123051,1,1,1,1,,,,,,5,5coal gasification
Former Soviet Union,gas processing,natural gas,natural gas,24.45484341,21.86839328,1,1,1,1,,,,,,6,6natural gas
Former Soviet Union,gas processing,biomass gasification,biomass gasification,0,0.000569405,0,1,0,1,,,,,,6,6biomass gasification
Former Soviet Union,gas processing,coal gasification,coal gasification,0.310853153,0.188426934,1,1,1,1,,,,,,6,6coal gasification
China,gas processing,natural gas,natural gas,0.526209584,1.838574605,1,1,1,1,,,,,,7,7natural gas
China,gas processing,biomass gasification,biomass gasification,0,0.141162149,0,1,0,1,,,,,,7,7biomass gasification
China,gas processing,coal gasification,coal gasification,0.302085994,0.835346149,1,1,1,1,,,,,,7,7coal gasification
Middle East,gas processing,natural gas,natural gas,3.054714401,9.037358525,1,1,1,1,,,,,,8,8natural gas
Middle East,gas processing,biomass gasification,biomass gasification,0,0,0,0,0,0,,,,,,8,8biomass gasification
Middle East,gas processing,coal gasification,coal gasification,0,0,0,0,0,0,,,,,,8,8coal gasification
Africa,gas processing,natural gas,natural gas,1.292126029,3.060052571,1,1,1,1,,,,,,9,9natural gas
Africa,gas processing,biomass gasification,biomass gasification,0,0,0,0,0,0,,,,,,9,9biomass gasification
Africa,gas processing,coal gasification,coal gasification,0.025907918,0.01600195,1,1,1,1,,,,,,9,9coal gasification
Latin America,gas processing,natural gas,natural gas,3.170090048,6.09786486,1,1,1,1,,,,,,10,10natural gas
Latin America,gas processing,biomass gasification,biomass gasification,0.000736877,0.00043124,1,1,1,1,,,,,,10,10biomass gasification
Latin America,gas processing,coal gasification,coal gasification,0.04793886,0.056810689,1,1,1,1,,,,,,10,10coal gasification
Southeast Asia,gas processing,natural gas,natural gas,2.069204483,5.93332362,1,1,1,1,,,,,,11,11natural gas
Southeast Asia,gas processing,biomass gasification,biomass gasification,0.000142351,0.001997104,1,1,1,1,,,,,,11,11biomass gasification
Southeast Asia,gas processing,coal gasification,coal gasification,0.025794875,0.040025808,1,1,1,1,,,,,,11,11coal gasification
Eastern Europe,gas processing,natural gas,natural gas,2.867765407,2.523761172,1,1,1,1,,,,,,12,12natural gas
Eastern Europe,gas processing,biomass gasification,biomass gasification,0.000393559,0.005459587,1,1,1,1,,,,,,12,12biomass gasification
Eastern Europe,gas processing,coal gasification,coal gasification,0.111569846,0.06299878,1,1,1,1,,,,,,12,12coal gasification
Korea,gas processing,natural gas,natural gas,0.114065179,1.142946158,1,1,1,1,,,,,,13,13natural gas
Korea,gas processing,biomass gasification,biomass gasification,0.000741064,0.003403868,1,1,1,1,,,,,,13,13biomass gasification
Korea,gas processing,coal gasification,coal gasification,0,0.071724071,0,1,0,1,,,,,,13,13coal gasification
India,gas processing,natural gas,natural gas,0.411688044,1.207523362,1,1,1,1,,,,,,14,14natural gas
India,gas processing,biomass gasification,biomass gasification,0,0,0,0,0,0,,,,,,14,14biomass gasification
India,gas processing,coal gasification,coal gasification,0,0,0,0,0,0,,,,,,14,14coal gasification
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
