Input: Aggregate AEEIs,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
10,,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer
,,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,building,0,0,0,0.006394784,0.009153204,0.005917712,0.005512724,0.00589805,0.005827218
Australia_NZ,building,0,0,0,0.006240093,0.009259532,0.005963531,0.005293351,0.005321058,0.005244386
Canada,building,0,0,0,0.00683952,0.009355093,0.0059564,0.005307158,0.0055698,0.00545183
China,building,0,0,0,0.007395456,0.010407986,0.007201062,0.006560586,0.007083656,0.006621592
Eastern Europe,building,0,0,0,0.007309855,0.009946539,0.007130217,0.006611635,0.007172163,0.007020597
Former Soviet Union,building,0,0,0,0.006796763,0.009582901,0.006435802,0.005933415,0.006298083,0.00624272
India,building,0,0,0,0.0066339,0.009563301,0.006471391,0.00603889,0.006427594,0.006456129
Japan,building,0,0,0,0.00542752,0.009214621,0.005945923,0.005528361,0.005560483,0.005140181
Korea,building,0,0,0,0.006347474,0.009569589,0.006494616,0.005916655,0.006121944,0.005940767
Latin America,building,0,0,0,0.006364947,0.009120359,0.006160534,0.005931811,0.006441903,0.006344365
Middle East,building,0,0,0,0.00656556,0.009395667,0.006008487,0.005565379,0.005875062,0.00572639
Southeast Asia,building,0,0,0,0.006898183,0.009868205,0.006737264,0.006450847,0.006804791,0.006742817
USA,building,0,0,0,0.006372947,0.009125271,0.005897941,0.005318895,0.005656654,0.005539556
Western Europe,building,0,0,0,0.006022435,0.00927174,0.005765196,0.005420905,0.005622844,0.005360856
