# File: A11.steepness.csv,
# Title: Steepness of emissions reduction for agricultural sectors in all regions,
# Description: Shape parameter of s-curve function that reduces the emissions coefficient as a function of the per-capita GDP,
# Units: Unitless,
# Source: Internal GCAM assumptions,
# Column types: cn 
# ----------
AgSupplySector,steepness
Corn,3.5
FiberCrop,3.5
FodderGrass,3.5
FodderHerb,3.5
Fruits,3.5
Legumes,3.5
MiscCrop,3.5
NutsSeeds,3.5
OilCrop,3.5
OtherGrain,3.5
OilPalm,3.5
Rice,3.5
RootTuber,3.5
Soybean,3.5
SugarCrop,3.5
Vegetables,3.5
Wheat,3.5
