eia_sector,GCAM_sector,description
AC,trn_all,transportation sector consumption
CC,comm,commercial sector consumption
EG,electricity_output,electric power sector generation
EI,electricity_input,electric power sector consumption
ET,na,"electricity ""total"" (equal to generation)"
EX,na,electricity exports to outside the US
HC,na,"residential and commercial, used for solar hot water"
IC,industry,industrial sector consumption
IM,na,electricity imports from other countries
IN,na,"industrial sector, for supplemental gases only"
IS,electricity dom imports,net electricity imports from other states (positive = import; negative = export)
KC,na,coke plants
LC,na,biofuels energy losses and coproducts
LP,na,lease and plant fuel
NI,electricity intl imports,net electricity imports from other countries (positive = import; negative = export)
OC,na,other industrial users
OP,na,population query
PR,na,GDP variable name
PZ,gas pipeline,gas pipeline losses
RC,resid,residential sector consumption
TC,na,total consumption of all sectors
TG,na,total GDP (used for computing energy intensity)
TP,na,total population (used for computing energy use per capita)
VH,trn_bus_CNG,vehicle consumption (natural gas only)
